No,제목,학과,과정,년도,href
15,깨끗하고 안전한 도시 취리히에서의 교환생활,응용통계학과,학부,2019,/partner/expReport.asp?id=16027&page=1&bgbn=R
14,취리히 대학에서의 교환 경험,국제학과,학부,2019,/partner/expReport.asp?id=15849&page=1&bgbn=R
13,후회없는 교환학생 경험,정치외교학과,학부,2017,/partner/expReport.asp?id=14472&page=1&bgbn=R
12,UZH에서 즐거웠던 2017년 fall semester 후기 :),언더우드국제대학 국제학과,학부,2017,/partner/expReport.asp?id=14385&page=1&bgbn=R
11,스위스 취리학 대학 교환 후기,정치외교학과,학부,2016,/partner/expReport.asp?id=14337&page=1&bgbn=R
10,스위스 취리히에서의 교환학생 생활,경제학과,학부,2017-1,/partner/expReport.asp?id=14307&page=1&bgbn=R
9,스위스 교환학생,정치외교학과,학부,2016,/partner/expReport.asp?id=13964&page=1&bgbn=R
8,취리히대학 경험보고서,영어영문학과,학부,2016,/partner/expReport.asp?id=13854&page=1&bgbn=R
7,취리히대학교 교환학생 경험보고서,언더우드학부 생명과학공학과,학부,2016 Fall,/partner/expReport.asp?id=13730&page=1&bgbn=R
6,스위스에서의 경험,정치외교학과,학부,2013-2014,/partner/expReport.asp?id=7478&page=1&bgbn=R
5,시행착오와 깨달음을 동시에 얻었던 한 학기,영어영문,학부,2011,/partner/expReport.asp?id=6769&page=2&bgbn=R
4,University of Zurich,국제학 대학원,대학원,2013,/partner/expReport.asp?id=6729&page=2&bgbn=R
3,꿈만 같았던 취리히♡,사회과학대학 정치외교학과,학부,2012-2013,/partner/expReport.asp?id=6215&page=2&bgbn=R
2,취리히 대학 경험보고서,정경대학 국제관계학과,학부,2011,/partner/expReport.asp?id=5523&page=2&bgbn=R
1,취리히대학 경험보고서,국제대학 정치외교학과,학부,2010-2011,/partner/expReport.asp?id=5185&page=2&bgbn=R
