No,제목,학과,과정,년도,href
24,행복했던 멜버른에서의 3주,경영학과,학부,2020,/partner/expReport.asp?id=16420&page=1&bgbn=R
23,Deakin 에서의 잊을 수 없는 추억,건축공학과,학부,2019,/partner/expReport.asp?id=16345&page=1&bgbn=R
22,Deakin Burwood에서의 3주,의예과,학부,2020,/partner/expReport.asp?id=16343&page=1&bgbn=R
21,3주간 여유로웠던 계절학기,의예과,학부,2019,/partner/expReport.asp?id=16342&page=1&bgbn=R
20,Deakin 대학교에서의 3주,영어영문학과,학부,2020,/partner/expReport.asp?id=16319&page=1&bgbn=R
19,대학생활 최고의 학기를 보낸 교환학생 기간,기계공학과,학부,2019,/partner/expReport.asp?id=15623&page=1&bgbn=R
18,geelong에서의 평화로운 한달,사회학과,학부,2019,/partner/expReport.asp?id=15490&page=1&bgbn=R
17,한 여름 밤의 꿈 같았던 Deakin에서의 3주,경영학과,학부,2019,/partner/expReport.asp?id=15460&page=1&bgbn=R
16,"내 인생 최고의 경험을 호주에서,",EIC,학부,2019,/partner/expReport.asp?id=15452&page=1&bgbn=R
15,질롱에서의 평화로웠던 한달간,실내건축학과,학부,2019,/partner/expReport.asp?id=15418&page=1&bgbn=R
14,일상이 무료할 때는 디킨으로!,화공생명공학부,학부,2019,/partner/expReport.asp?id=15408&page=2&bgbn=R
13,"디킨, 잊을 수 없는 시간들",경영학과,학부,2019,/partner/expReport.asp?id=15290&page=2&bgbn=R
12,Deakin University에서의 한학기,임상병리학과,학부,2018,/partner/expReport.asp?id=15114&page=2&bgbn=R
11,1년,간호학과,학부,2017,/partner/expReport.asp?id=14435&page=2&bgbn=R
10,즐거웠던 Deakin University.,경영학과,학부,2015,/partner/expReport.asp?id=12439&page=2&bgbn=R
9,"Deakin Univ, 다양한 경험이 가능한 곳",정보산업공학과,학부,2014,/partner/expReport.asp?id=7516&page=2&bgbn=R
8,Deakin Univ. Burwood. VIC,경영학과,학부,2012,/partner/expReport.asp?id=6700&page=2&bgbn=R
7,Deakin Uni - Waurn Ponds Campus,기계공학과,학부,2013,/partner/expReport.asp?id=6419&page=2&bgbn=R
6,"잊지못할 멜번, 잊지못할 디킨",중어중문학,학부,2012,/partner/expReport.asp?id=6273&page=2&bgbn=R
5,Deakin University,신학과,학부,2012,/partner/expReport.asp?id=5951&page=2&bgbn=R
4,Deakin Uni,교육학과,학부,2011-2012,/partner/expReport.asp?id=5872&page=3&bgbn=R
3,I love Australia,사회학과,학부,2011-2012,/partner/expReport.asp?id=5765&page=3&bgbn=R
2,Melbourne. 잊혀지지 않을 그 곳.,행정학과,학부,2011,/partner/expReport.asp?id=5515&page=3&bgbn=R
1,"Melbourne, Oh, Melbourne!!",신문방송학과,학부,2010,/partner/expReport.asp?id=4924&page=3&bgbn=R
