,No,제목,학과,과정,년도,href,RNN_SCORE
0,15,깨끗하고 안전한 도시 취리히에서의 교환생활,응용통계학과,학부,2019,/partner/expReport.asp?id=16027&page=1&bgbn=R,0.7485218644142151
1,14,취리히 대학에서의 교환 경험,국제학과,학부,2019,/partner/expReport.asp?id=15849&page=1&bgbn=R,0.7932426333427429
2,13,후회없는 교환학생 경험,정치외교학과,학부,2017,/partner/expReport.asp?id=14472&page=1&bgbn=R,0.9116478562355042
3,12,UZH에서 즐거웠던 2017년 fall semester 후기 :),언더우드국제대학 국제학과,학부,2017,/partner/expReport.asp?id=14385&page=1&bgbn=R,0.755926251411438
4,11,스위스 취리학 대학 교환 후기,정치외교학과,학부,2016,/partner/expReport.asp?id=14337&page=1&bgbn=R,0.6241409778594971
5,10,스위스 취리히에서의 교환학생 생활,경제학과,학부,2017-1,/partner/expReport.asp?id=14307&page=1&bgbn=R,0.6846002340316772
6,9,스위스 교환학생,정치외교학과,학부,2016,/partner/expReport.asp?id=13964&page=1&bgbn=R,0.5230967998504639
7,8,취리히대학 경험보고서,영어영문학과,학부,2016,/partner/expReport.asp?id=13854&page=1&bgbn=R,0.639470100402832
8,7,취리히대학교 교환학생 경험보고서,언더우드학부 생명과학공학과,학부,2016 Fall,/partner/expReport.asp?id=13730&page=1&bgbn=R,0.7741761803627014
9,6,스위스에서의 경험,정치외교학과,학부,2013-2014,/partner/expReport.asp?id=7478&page=1&bgbn=R,0.8314362168312073
10,5,시행착오와 깨달음을 동시에 얻었던 한 학기,영어영문,학부,2011,/partner/expReport.asp?id=6769&page=2&bgbn=R,0.7490062713623047
11,4,University of Zurich,국제학 대학원,대학원,2013,/partner/expReport.asp?id=6729&page=2&bgbn=R,0.515648603439331
12,3,꿈만 같았던 취리히♡,사회과학대학 정치외교학과,학부,2012-2013,/partner/expReport.asp?id=6215&page=2&bgbn=R,0.7732871174812317
13,2,취리히 대학 경험보고서,정경대학 국제관계학과,학부,2011,/partner/expReport.asp?id=5523&page=2&bgbn=R,0.639470100402832
14,1,취리히대학 경험보고서,국제대학 정치외교학과,학부,2010-2011,/partner/expReport.asp?id=5185&page=2&bgbn=R,0.639470100402832
