No,제목,학과,과정,년도,href
38,"Kiitos, Joensuu!",신학과,학부,2019,/partner/expReport.asp?id=16690&page=1&bgbn=R
37,평화로웠던 요엔수에서의 한학기,아동가족학과,학부,2019- 2 학,/partner/expReport.asp?id=16563&page=1&bgbn=R
36,평화로웠던 요엔수,교육학과,학부,2019,/partner/expReport.asp?id=16423&page=1&bgbn=R
35,Ole hyva 핀란드 요엔수,사회복지학과,학부,2018,/partner/expReport.asp?id=16328&page=1&bgbn=R
34,요앤수에서의 여유로운 한 학기,불어불문학과,학부,2018,/partner/expReport.asp?id=16235&page=1&bgbn=R
33,"Kittos Paljon, Joensuu",교육학과,학부,2018-2019,/partner/expReport.asp?id=16049&page=1&bgbn=R
32,"자연자연한 진정한 핀란드, 요엔수",화학과,학부,2018,/partner/expReport.asp?id=15025&page=1&bgbn=R
31,"아름다운 북유럽의 자연을 느낄 수 있는 핀란드, 쿠오피오",천문우주학과,학부,2018,/partner/expReport.asp?id=14944&page=1&bgbn=R
30,바쁘게 앞만 보고 달려온 대학 생활을 뒤돌아보는 '여유'를 찾게 해 준 핀란드!,의공학부,학부,2016,/partner/expReport.asp?id=13880&page=1&bgbn=R
29,"진정한 핀란드를 느끼고 싶다면, 요엔수로 가세요!",교육학과,학부,2016,/partner/expReport.asp?id=13807&page=1&bgbn=R
28,"무민과 사우나의 고향, 핀란드",신학,학부,2016,/partner/expReport.asp?id=13744&page=2&bgbn=R
27,삶의 여유와 행복의 의미를 찾을 Joensuu,신소재공학과,학부,2016,/partner/expReport.asp?id=13699&page=2&bgbn=R
26,잊지못할 핀란드에서의 한 학기.,교육학과,학부,2016,/partner/expReport.asp?id=13231&page=2&bgbn=R
25,신비로운 자연 속에서 평화롭게 보냈던 한 학기,생활과학대학 생활디자인학과,학부,2016,/partner/expReport.asp?id=13187&page=2&bgbn=R
24,핀란드에서의 꿈같은 한 학기,아동가족학과,학부,2015,/partner/expReport.asp?id=12464&page=2&bgbn=R
23,University of Eastern Finland - Joensuu campus 에서의 한 학기,정치외교학과,학부,2015,/partner/expReport.asp?id=12417&page=2&bgbn=R
22,요엔수에서의 한 학기,사학과,학부,2015,/partner/expReport.asp?id=12011&page=2&bgbn=R
21,재미가 쏠쏠한 요엔수,수학과,학부,2014,/partner/expReport.asp?id=8635&page=2&bgbn=R
20,마음이 차분해지는 한학기,문헌정보학과,학부,2014,/partner/expReport.asp?id=8582&page=2&bgbn=R
19,"인생최고의 turning point, 다시 선택해도 무조건 Kuopio!",대기과학과,학부,2014,/partner/expReport.asp?id=7494&page=2&bgbn=R
18,다시 돌아가고싶은 요엔수,영어영문학과,학부,2013,/partner/expReport.asp?id=6870&page=3&bgbn=R
17,늘 웃음이 끊이질 않았던 한 학기,교육학과,학부,2013,/partner/expReport.asp?id=6862&page=3&bgbn=R
16,"Best Choice, Unforgettable Memory",생활디자인,학부,2012,/partner/expReport.asp?id=6687&page=3&bgbn=R
15,우연이 가져다준 대학생활 최고의 행운,교육학과,학부,2012,/partner/expReport.asp?id=6130&page=3&bgbn=R
14,핀란드식 백야와 오로라의 품속에서 행복했던 지난 1학기에 대한 고찰.,행정학과,학부,2012,/partner/expReport.asp?id=5860&page=3&bgbn=R
13,핀란드(수오미)!!!,보건행정학과,학부,2009-2010,/partner/expReport.asp?id=4483&page=3&bgbn=R
12,쿠오피오에서 보낸 한 철,심리학과,학부,2008-2009,/partner/expReport.asp?id=4348&page=3&bgbn=R
11,핀란드에서 보낸 사계절,보건행정학과,학부,2009,/partner/expReport.asp?id=4176&page=3&bgbn=R
10,핀란드식 사우나가 그리운 어느 날.,신방/경영,학부,2008-2009,/partner/expReport.asp?id=4155&page=3&bgbn=R
9,핀란드에서 보낸 내 생에 최고의 5개월!,공과대학 세라믹공학과,학부,2008,/partner/expReport.asp?id=3877&page=3&bgbn=R
8,핀란드에서는 정말 자기전에 자일리톨껌을 씹나요?,사회학과,학부,2008,/partner/expReport.asp?id=3428&page=4&bgbn=R
7,천국같은 곳에서 보낸 가장 행복했던 한 학기.,생화학과,학부,2007,/partner/expReport.asp?id=3147&page=4&bgbn=R
6,University of Kuopio 경험보고서,생화학과,학부,2007,/partner/expReport.asp?id=2916&page=4&bgbn=R
5,"숲과 호수의 나라, 핀란드를 다녀와서",토목*환경공학과,학부,2007,/partner/expReport.asp?id=2603&page=4&bgbn=R
4,"호수의나라, 핀란드에서의 1년",보건행정학과,학부,2006-2007,/partner/expReport.asp?id=2577&page=4&bgbn=R
3,Fantastic Finland,생명공학과,학부,2006,/partner/expReport.asp?id=2372&page=4&bgbn=R
2,"조용한 나라, 깨끗한 나라 핀란드",생명공학과,학부,2006,/partner/expReport.asp?id=2307&page=4&bgbn=R
1,Joensuu,경영학과,학부,2006,/partner/expReport.asp?id=2206&page=4&bgbn=R
