,No,제목,학과,과정,년도,href,RNN_SCORE
0,44,"싱가포르라는 도시 국가를 제대로 느낄 수 있는 학교, SMU",UIC 창의기술경영,학부,2019,/partner/expReport.asp?id=16475&page=1&bgbn=R,0.9074646234512329
1,43,"SMU, 실용적인 학문과 동남아시아를 느낄 수 있는 최고의 학교",경영학과,학부,2019,/partner/expReport.asp?id=15522&page=1&bgbn=R,0.9564751386642456
2,42,SMU GSP를 끝마치고,언더우드학부,학부,2018,/partner/expReport.asp?id=14981&page=1&bgbn=R,0.4276712238788605
3,41,SMU에서의 한 학기,아동가족학과,학부,2016,/partner/expReport.asp?id=13653&page=1&bgbn=R,0.731432318687439
4,40,"SMU, 싱가포르를 느낄 수 있는 최고의 학교",경영학과,학부,2016,/partner/expReport.asp?id=13046&page=1&bgbn=R,0.9581423997879028
5,39,SMU 교환학생 경험보고서,문헌정보학,학부,2016,/partner/expReport.asp?id=12867&page=1&bgbn=R,0.6680845022201538
6,38,Economics,UIC,학부,2015,/partner/expReport.asp?id=12730&page=1&bgbn=R,0.50729900598526
7,37,잊지못할 경험을 선사한 싱가폴에서의 교환학생 생활,경영학과,학부,2015,/partner/expReport.asp?id=12467&page=1&bgbn=R,0.8789275884628296
8,36,살기 좋은 싱가포르,경영학과,학부,2013,/partner/expReport.asp?id=6988&page=1&bgbn=R,0.8764437437057495
9,35,잊을 수 없는 기억을 만들어준... 싱가포르,수학과/경제학과,학부,2013,/partner/expReport.asp?id=6982&page=1&bgbn=R,0.8727604150772095
10,34,"동남아시아의 중심지, 싱가포르",경영학과,학부,2012-2013,/partner/expReport.asp?id=6558&page=2&bgbn=R,0.5123575925827026
11,33,어떤 경험과도 맞바꿀 수 없는 1년간의 SMU생활,문과대학 독어독문학과,학부,2012,/partner/expReport.asp?id=6209&page=2&bgbn=R,0.7238584160804749
12,32,다시 또 가고 싶은 나라 싱가폴,경제학과,학부,2012,/partner/expReport.asp?id=6207&page=2&bgbn=R,0.9346222877502441
13,31,SMU!!,경영학과,학부,2012,/partner/expReport.asp?id=6206&page=2&bgbn=R,0.5230967998504639
14,30,Singapore Management University에서의 한학기,경영학과,학부,2012,/partner/expReport.asp?id=5892&page=2&bgbn=R,0.6876720190048218
15,29,싱가포르에서 보낸 잊지 못할 1년,경영학과,학부,2011-2012,/partner/expReport.asp?id=5731&page=2&bgbn=R,0.8258291482925415
16,28,치열했던 SMU의 삶과 매력적인 싱가포르에서의 삶,경영학과,학부,2012,/partner/expReport.asp?id=5698&page=2&bgbn=R,0.9683451652526855
17,27,"내 인생의 보석같았던 순간, 싱가폴 교환학생",경영학과,학부,2011,/partner/expReport.asp?id=5449&page=2&bgbn=R,0.8324068784713745
18,26,꼭 다시 찾아갈 싱가폴을 그리며,경영학과,학부,2011,/partner/expReport.asp?id=5441&page=2&bgbn=R,0.9429930448532104
19,25,오직 싱가포르였기에.,신문방송/경영,학부,2011,/partner/expReport.asp?id=5415&page=2&bgbn=R,0.16811814904212952
20,24,즐거웠던 싱가폴 교환학생 생활,경제학과,학부,2011,/partner/expReport.asp?id=5359&page=3&bgbn=R,0.878363311290741
21,23,SMU 경험 보고서,경영학과,학부,2010-2011,/partner/expReport.asp?id=5129&page=3&bgbn=R,0.6901764869689941
22,22,날마다 즐거운 싱가포르 SMU에서의 1년을 마치고,경영학과,학부,2010-2011,/partner/expReport.asp?id=4846&page=3&bgbn=R,0.9247355461120605
23,21,싱가폴에서의 소중했던 1년을 마치고,경제학과,학부,2010,/partner/expReport.asp?id=4824&page=3&bgbn=R,0.7875481247901917
24,20,다시가고 싶은 싱가폴,경영학과,학부,2010,/partner/expReport.asp?id=4822&page=3&bgbn=R,0.5165888071060181
25,19,짧았지만 보람있었던 SMU에서의 교환학생 생활,경영학과,학부,2010,/partner/expReport.asp?id=4821&page=3&bgbn=R,0.8341790437698364
26,18,SMU 경험보고서,경영학과,학부,2010,/partner/expReport.asp?id=4817&page=3&bgbn=R,0.6901764869689941
27,17,잊지못할 4개월의 교환학생생활,경영학과,학부,2010,/partner/expReport.asp?id=4649&page=3&bgbn=R,0.8737467527389526
28,16,멋진 SMU 생활,경영학과,학부,2009,/partner/expReport.asp?id=4212&page=3&bgbn=R,0.8704197406768799
29,15,벅찬 감동의 SMU,경영학과,학부,2010,/partner/expReport.asp?id=4199&page=3&bgbn=R,0.9149879813194275
30,14,완벽하게 꿈같았던 시간들,경제학과,학부,2009,/partner/expReport.asp?id=4071&page=4&bgbn=R,0.9511322975158691
31,13,SMU 경험 보고서,경영학과,학부,2009,/partner/expReport.asp?id=3632&page=4&bgbn=R,0.6901764869689941
32,12,싱가포르경영대학 교환학생 경헙보고서,경영학과,학부,2008,/partner/expReport.asp?id=3414&page=4&bgbn=R,0.5666237473487854
33,11,SMU에서의 한학기,경영학과,학부,2008,/partner/expReport.asp?id=3378&page=4&bgbn=R,0.731432318687439
34,10,SMU,경영학과,학부,2007,/partner/expReport.asp?id=2971&page=4&bgbn=R,0.50729900598526
35,9,"살기 좋은 곳, Singapore에서의 즐거운 한학기",의류환경학과,학부,2007,/partner/expReport.asp?id=2851&page=4&bgbn=R,0.964013934135437
36,8,Singapore 과 SMU,경영학과,학부,2007,/partner/expReport.asp?id=2830&page=4&bgbn=R,0.5230967998504639
37,7,SMU에서의 잊지 못할 기억,경제학과,학부,2006,/partner/expReport.asp?id=2512&page=4&bgbn=R,0.9335849285125732
38,6,다시 가고싶은 SMU,경영학과,학부,2006,/partner/expReport.asp?id=2280&page=4&bgbn=R,0.8829654455184937
39,5,잊지 못할 경험 - 교환학생,경영학과,학부,2005,/partner/expReport.asp?id=1965&page=4&bgbn=R,0.876067042350769
40,4,Singapore Management University,경영학과,학부,2005,/partner/expReport.asp?id=1890&page=5&bgbn=R,0.515648603439331
41,3,"Singapore Management University, SMU",경영학과,학부,2005,/partner/expReport.asp?id=1887&page=5&bgbn=R,0.5122702717781067
42,2,Singapore Management University,상경계열,학부,2004,/partner/expReport.asp?id=1562&page=5&bgbn=R,0.515648603439331
43,1,SMU와 Singapore,경영학전공,학부,2004,/partner/expReport.asp?id=1505&page=5&bgbn=R,0.571857213973999
