No,제목,학과,과정,년도,href
12,잊지못할 소중한 경험이 된 난잔대학에서의 1년,법학,학부,2010-2011,/partner/expReport.asp?id=5479&page=1&bgbn=R
11,내 인생의 터닝포인트가 된 Nanzan Univ.,문과대학 노어노문학과,학부,2006-2007,/partner/expReport.asp?id=3975&page=1&bgbn=R
10,난잔대학교에서의 교환학생 생활,문헌정보학과,학부,2008,/partner/expReport.asp?id=3624&page=1&bgbn=R
9,소중한 경험,사회복지학과,학부,2009,/partner/expReport.asp?id=3570&page=1&bgbn=R
8,후회없는 결정 - 난잔,사회과학대학 행정학과,학부,2005,/partner/expReport.asp?id=1824&page=1&bgbn=R
7,꿈같은 난잔에서의 한학기,경제학과,학부,2004,/partner/expReport.asp?id=1651&page=1&bgbn=R
6,난잔대학의 힘,상경계열,학부,2003-2004,/partner/expReport.asp?id=1161&page=1&bgbn=R
5,Nanzan Univ.,생명공학전공,학부,2004,/partner/expReport.asp?id=1158&page=1&bgbn=R
4,Nanzan Univ.,생명공학전공,학부,2004,/partner/expReport.asp?id=1157&page=1&bgbn=R
3,난잔대학에서의 길지않은 9개월을 보내며,경영정보학전공,학부,2002-2003,/partner/expReport.asp?id=832&page=1&bgbn=R
2,난잔대학교 - 가을학기,생활과학부,학부,2002,/partner/expReport.asp?id=732&page=2&bgbn=R
1,Nanzan Univ. - 이효정,인문학부,학부,2001,/partner/expReport.asp?id=523&page=2&bgbn=R
