No,제목,학과,과정,년도,href
50,19-2~20-1 상트페테르부르크 국립대학교 교환학생 보고서,노어노문학과,학부,2019-2020,/partner/expReport.asp?id=16620&page=1&bgbn=R
49,2019-1학기 상트페테르부르크 교환학생 경험보고서,노어노문학과,학부,2019,/partner/expReport.asp?id=16339&page=1&bgbn=R
48,2018-2 상트페테르부르크 교환학생 경험보고서,노어노문학과,학부,2018,/partner/expReport.asp?id=15984&page=1&bgbn=R
47,2018-2학기 상트페테르부르크 교환학생 경험보고서,노어노문학과,학부,2018,/partner/expReport.asp?id=15376&page=1&bgbn=R
46,상트페테르부르크에서의 한 학기,노어노문학과,학부,2018,/partner/expReport.asp?id=15131&page=1&bgbn=R
45,상트페테르부르크 교환학생 경험보고서,노어노문학과,학부,2018-1,/partner/expReport.asp?id=15127&page=1&bgbn=R
44,상트페테르부르크에서의 교환학생,노어노문학과,학부,2018,/partner/expReport.asp?id=15055&page=1&bgbn=R
43,아름다운 도시 상트페테르부르크에서의 한 학기,노어노문학과,학부,2018,/partner/expReport.asp?id=15038&page=1&bgbn=R
42,아름다웠던 상트 페테르부르크에서의 1년 교환학생 생활,노어노문학과,학부,2017-2018,/partner/expReport.asp?id=14832&page=1&bgbn=R
41,상트페테르부르크 국립대학에서의 생활,노어노문학과,학부,2017,/partner/expReport.asp?id=14592&page=1&bgbn=R
40,상트페테르부르크 대학교 교환학생 경험 보고서,노어노문학과,학부,2017,/partner/expReport.asp?id=14475&page=2&bgbn=R
39,상트페테르부르크 국립 대학에서의 가을학기,노어노문학과,학부,2017,/partner/expReport.asp?id=14470&page=2&bgbn=R
38,상트페테르부르크,노어노문학과,학부,2017,/partner/expReport.asp?id=14466&page=2&bgbn=R
37,상트페테르부르크 경험보고서,노어노문학과,학부,2017,/partner/expReport.asp?id=14282&page=2&bgbn=R
36,2016-2 상트페테르부르크 국립대학교,노어노문학과,학부,2016,/partner/expReport.asp?id=14280&page=2&bgbn=R
35,2017-1 상트페테르부르크 국립대학교,노어노문학과,학부,2017-1,/partner/expReport.asp?id=14277&page=2&bgbn=R
34,상트페테르부르크 국립대학교 파견 보고서,노어노문학과,학부,2017,/partner/expReport.asp?id=14169&page=2&bgbn=R
33,2017년 1학기 상트페테르부르크 국립대학교 경험보고서,노어노문학과,학부,2017,/partner/expReport.asp?id=14077&page=2&bgbn=R
32,상트페테르부르크 국립대학교 교환학생 경험 보고서,노어노문학과,학부,2016,/partner/expReport.asp?id=14004&page=2&bgbn=R
31,"아름다운 추억, 상트페테르부르크에서의 한 학기",언론홍보영상학부,학부,2016,/partner/expReport.asp?id=13859&page=2&bgbn=R
30,상트페테르부르크,노어노문학과,학부,2016,/partner/expReport.asp?id=13603&page=3&bgbn=R
29,솔직한 상트페테르부르크 후기,경영학과,학부,2016,/partner/expReport.asp?id=13547&page=3&bgbn=R
28,2016 가을학기 상트페테르부르크 국립대학교 교환학생 경험보고서,노어노문학과,학부,2016,/partner/expReport.asp?id=13443&page=3&bgbn=R
27,"아름다운 도시, 상트 페테르부르크",노어노문학과,학부,2016,/partner/expReport.asp?id=13319&page=3&bgbn=R
26,2015 겨울 상트페테르부르크,노어노문학과,학부,2015,/partner/expReport.asp?id=13118&page=3&bgbn=R
25,상트페테르부르크 사용설명서,노어노문학과,학부,2014,/partner/expReport.asp?id=12563&page=3&bgbn=R
24,상트페테르부르크,노어노문학과,학부,2015,/partner/expReport.asp?id=12558&page=3&bgbn=R
23,"러시아 문화의 도시, 상트 페테르부르크",노어노문학과,학부,2015,/partner/expReport.asp?id=12537&page=3&bgbn=R
22,문화의 도시 상트 페테르부르크,노어노문학과,학부,2015,/partner/expReport.asp?id=12102&page=3&bgbn=R
21,상트페테르부르크,노어노문학과,학부,2014,/partner/expReport.asp?id=10763&page=3&bgbn=R
20,상트 페테르부르크에서의 한 학기,노어노문학과,학부,2014,/partner/expReport.asp?id=7316&page=4&bgbn=R
19,"모든 것이 아름다웠던, 상트 페테르부르크",노어노문학과,학부,2013-2014,/partner/expReport.asp?id=7189&page=4&bgbn=R
18,페테르부르그에서의 교환생활,노어노문학과,학부,2012,/partner/expReport.asp?id=6918&page=4&bgbn=R
17,그리운 뻬쪠르,동아시아국제학부,학부,2012-2,/partner/expReport.asp?id=6710&page=4&bgbn=R
16,상트페테르부르크에서의 봄학기,노어노문학과,학부,2013,/partner/expReport.asp?id=6561&page=4&bgbn=R
15,잊지못할 1년 상트페테르 부르그 생활,노어노문학과,학부,2012,/partner/expReport.asp?id=6257&page=4&bgbn=R
14,상트페테르부르크,동아시아국제학부,학부,2011,/partner/expReport.asp?id=5670&page=4&bgbn=R
13,"후회하지 않을 선택, 뻬쩨르.",국어국문학과,학부,2011-1,/partner/expReport.asp?id=5259&page=4&bgbn=R
12,뻬쩨르에서의 한 학기,철학/노어노문,학부,2011-1,/partner/expReport.asp?id=5109&page=4&bgbn=R
11,2010 in 뻬쩨르,노어노문학과,학부,2010,/partner/expReport.asp?id=4605&page=4&bgbn=R
10,2010 페테르부르크,노어노문학과,학부,2010,/partner/expReport.asp?id=4565&page=5&bgbn=R
9,St. Petersburg State University,노어노문학과,학부,2010,/partner/expReport.asp?id=4318&page=5&bgbn=R
8,뻬쩨르부르그,노어노문학과,학부,2006-1,/partner/expReport.asp?id=2275&page=5&bgbn=R
7,saint petersburg,노어노문학과,학부,2006-1,/partner/expReport.asp?id=2063&page=5&bgbn=R
6,문화와 예술의 도시,신문방송학과,학부,2005-1,/partner/expReport.asp?id=1937&page=5&bgbn=R
5,상뜨 뻬쩨르부르그,노어노문학과,학부,2005,/partner/expReport.asp?id=1885&page=5&bgbn=R
4,2005-2학기 경험보고서,문헌정보학과,학부,2005-2,/partner/expReport.asp?id=1858&page=5&bgbn=R
3,Санкт-Петербург 에서의 한학기,문과대학,학부,2004,/partner/expReport.asp?id=1410&page=5&bgbn=R
2,아무것도 모르고 간 러시아(뻬쩨르부르크),노어노문학전공,학부,2004-2,/partner/expReport.asp?id=1405&page=5&bgbn=R
1,뻬제르부르그에서...,노어노문학전공,학부,2004,/partner/expReport.asp?id=1383&page=5&bgbn=R
