No,제목,학과,과정,년도,href
264,석양이 아름다웠던 샌디에고에서의 6개월,창의기술경영학과,학부,2019-2020,/partner/expReport.asp?id=16684&page=1&bgbn=R
263,샌디에고에서 보낸 잊지 못할 6개월,언론홍보영상학부,학부,2020,/partner/expReport.asp?id=16671&page=1&bgbn=R
262,다시 돌아가겠다는 마음을 먹게한 샌디,계량위험관리(QRM),학부,2020,/partner/expReport.asp?id=16657&page=1&bgbn=R
261,"할미의 샌디에고 요양기,,,,",창의기술경영학과,학부,2019,/partner/expReport.asp?id=16653&page=1&bgbn=R
260,UCSD 교환학생,건설환경공학과,학부,2020,/partner/expReport.asp?id=16584&page=1&bgbn=R
259,"""UCSD 가지마"" ""그게 뭔데"" ""UCSD 가지 말라고"" ""그거 어떻게 하는건데""",언더우드국제대학 바이오융합과,학부,2019-2020,/partner/expReport.asp?id=16556&page=1&bgbn=R
258,다시 돌아가고 싶은 UCSD,SDC,학부,2019-2020,/partner/expReport.asp?id=16512&page=1&bgbn=R
257,샌디에고에서의 잊지 못할 7개월,기계공학과,학부,2019-2020,/partner/expReport.asp?id=16428&page=1&bgbn=R
256,잊지 못할 라호이야 2019: the Days in the Sun,경제학과,학부,2019,/partner/expReport.asp?id=16373&page=1&bgbn=R
255,다시 돌아가고 싶은 샌디에고에서의 1년,심리학과,학부,2019,/partner/expReport.asp?id=16173&page=1&bgbn=R
254,샌디에고에서의 1년,심리학과,학부,2019,/partner/expReport.asp?id=16165&page=2&bgbn=R
253,샌디에고에서의 1년,CDM,학부,2019,/partner/expReport.asp?id=16089&page=2&bgbn=R
252,샌디에고에서 지낸 6개월,경제학과,학부,2019,/partner/expReport.asp?id=16023&page=2&bgbn=R
251,Report on ESP at UCSD for 1 year,UIC,학부,2018-2019,/partner/expReport.asp?id=15967&page=2&bgbn=R
250,샌디에고에서의 한학기,언더우드학부 경제학과,학부,2019,/partner/expReport.asp?id=15948&page=2&bgbn=R
249,honest report after 1 year of UCSD EAP life,창의기술경영학과 (CTM),학부,2018-2019,/partner/expReport.asp?id=15935&page=2&bgbn=R
248,UCSD Trivia : Guide for Foodies,경제학과,학부,2018-2019,/partner/expReport.asp?id=15883&page=2&bgbn=R
247,샌디에고에서의 겨울/봄 쿼터,글로벌행정학과/아동가족학과,학부,2019,/partner/expReport.asp?id=15869&page=2&bgbn=R
246,sun-kissed life in San Diego,정보산업공학과,학부,2019,/partner/expReport.asp?id=15865&page=2&bgbn=R
245,미국 최애도시 샌디에고에서의 10개월,경영 / 컴퓨터과학,학부,2018-2019,/partner/expReport.asp?id=15845&page=2&bgbn=R
244,그리운 UCSD에서의 6개월,경제학과,학부,2019,/partner/expReport.asp?id=15765&page=3&bgbn=R
243,UCSD에서의 전무후무한 6개월,UIC JCL,학부,2019,/partner/expReport.asp?id=15738&page=3&bgbn=R
242,UCSD 라이프!,경영학과,학부,2019,/partner/expReport.asp?id=15667&page=3&bgbn=R
241,행복했던 UCSD 교환학생 생활,정치외교학과,학부,2018,/partner/expReport.asp?id=15380&page=3&bgbn=R
240,최고의 날씨를 자랑하는 샌디에고에서의 1년,생활디자인학과,학부,2017-2018,/partner/expReport.asp?id=15176&page=3&bgbn=R
239,후회 없는 경험 UCSD,경영,학부,2018,/partner/expReport.asp?id=14959&page=3&bgbn=R
238,여유롭고 재밌었던 UCSD 라이프,"아동가족학과, 심리학과",학부,2018,/partner/expReport.asp?id=14958&page=3&bgbn=R
237,돌아가고 싶은 샌디,언론홍보영상학부,학부,2017-2018,/partner/expReport.asp?id=14933&page=3&bgbn=R
236,행복했던 교환생활,UD Econ,학부,2018,/partner/expReport.asp?id=14914&page=3&bgbn=R
235,샌디에고에서의 6개월,경영학과,학부,2018,/partner/expReport.asp?id=14899&page=3&bgbn=R
234,잊지 못할 UCSD에서의 1년,생명공학,학부,2017,/partner/expReport.asp?id=14885&page=4&bgbn=R
233,샌디에고에서의 1년,UD IS / ECON,학부,2017-2018,/partner/expReport.asp?id=14882&page=4&bgbn=R
232,ucsd에서의 한학기,실내건축학과,학부,2018,/partner/expReport.asp?id=14861&page=4&bgbn=R
231,인생의 가장 아름다운 챕터- 교환 라이프 in San Diego,실내건축학과,학부,2017-2018,/partner/expReport.asp?id=14858&page=4&bgbn=R
230,CTM student to UCSD Rady School of Management,"International Studies, Creative Technology Management",학부,2017-2018,/partner/expReport.asp?id=14857&page=4&bgbn=R
229,UCSD 보고서,경제학과/컴퓨터과학과,학부,2017-2018,/partner/expReport.asp?id=14840&page=4&bgbn=R
228,캘리포니아에서 보낸 행복한 6개월,생명공학과,학부,2018,/partner/expReport.asp?id=14837&page=4&bgbn=R
227,내 인생을 바꿔놓은 1년,아동가족학과,학부,2016,/partner/expReport.asp?id=14584&page=4&bgbn=R
226,UCSD - Rady School of Management,UIC,학부,2017,/partner/expReport.asp?id=14519&page=4&bgbn=R
225,학점 걱정없이 보낸 행복한 1년,경제학과,학부,2017,/partner/expReport.asp?id=14418&page=4&bgbn=R
224,UCSD 교환후기,Bio Convergence,학부,2017,/partner/expReport.asp?id=14358&page=5&bgbn=R
223,쏘캘라이프,생활디자인,학부,2016-2017,/partner/expReport.asp?id=14259&page=5&bgbn=R
222,잊지 못할 1년,생명공학과,학부,2016-2017,/partner/expReport.asp?id=14146&page=5&bgbn=R
221,여유로운 UCSD,도시공학 / 경제,학부,2016-2017,/partner/expReport.asp?id=14097&page=5&bgbn=R
220,뜻 깊었던 미국에서의 생활,기계공학과,학부,2016-2017,/partner/expReport.asp?id=14070&page=5&bgbn=R
219,가장 행복했던 10개월,전기전자공학부,학부,2016-2017,/partner/expReport.asp?id=14034&page=5&bgbn=R
218,UCSD에서의 1년,UIC HASS JCL,학부,2016-2017,/partner/expReport.asp?id=14025&page=5&bgbn=R
217,인생을 바꾼 경험,생명공학과,학부,2016,/partner/expReport.asp?id=13999&page=5&bgbn=R
216,UCSD 교환학생 후기,도시공학과,학부,2016-1,/partner/expReport.asp?id=13788&page=5&bgbn=R
215,UCSD-ERC,Techno-Art Division,학부,2016,/partner/expReport.asp?id=13731&page=5&bgbn=R
214,즐거웠던 UCSD에서의 1년,경영학과,학부,2016,/partner/expReport.asp?id=13723&page=6&bgbn=R
213,성장할 수 있었던 1년,영어영문학과,학부,2016,/partner/expReport.asp?id=13722&page=6&bgbn=R
212,하고싶은 공부를 마음껏 하다 온 1년,산업공학과,학부,2016,/partner/expReport.asp?id=13718&page=6&bgbn=R
211,UCSD에서 공대생으로 살아가기,기계공학과,학부,2016,/partner/expReport.asp?id=13707&page=6&bgbn=R
210,San Diego에서 1년,동아시아국제학부,학부,2016,/partner/expReport.asp?id=13589&page=6&bgbn=R
