No,제목,학과,과정,년도,href
46,대학생활 중 가장 행복했던 한 학기,심리학과,학부,2016,/partner/expReport.asp?id=12971&page=1&bgbn=R
45,행복했던 매니토바 대학교 한 학기 교환학생 자세한 후기!!,사회학과,학부,2016,/partner/expReport.asp?id=12632&page=1&bgbn=R
44,행복했던 한학기!,신소재공학과,학부,2015,/partner/expReport.asp?id=12631&page=1&bgbn=R
43,University of Manitoba에서 보낸 한 학기,건축학과,학부,2015,/partner/expReport.asp?id=12453&page=1&bgbn=R
42,U of M 한 학기 파견보고서,행정학과,학부,2015,/partner/expReport.asp?id=12406&page=1&bgbn=R
41,1년 동안의 U of M 생활,경영학과,학부,2014,/partner/expReport.asp?id=12299&page=1&bgbn=R
40,A Brief Summary of Life in UofM,경영학과,학부,2014~2015,/partner/expReport.asp?id=12253&page=1&bgbn=R
39,한 학기 동안의 UofM 경험보고서,경영학과,학부,2014,/partner/expReport.asp?id=10766&page=1&bgbn=R
38,1년간의 U of M 파견보고서,경영학과,학부,2014,/partner/expReport.asp?id=7578&page=1&bgbn=R
37,영어와 전공지식을 한꺼번에 얻게 해주었던 학교,경영학과,학부,2014,/partner/expReport.asp?id=7418&page=1&bgbn=R
36,잊지 못할 UofM!,경제학과,학부,2013,/partner/expReport.asp?id=6836&page=2&bgbn=R
35,2012년 교환학생 보고서,경영학과,학부,2012,/partner/expReport.asp?id=6129&page=2&bgbn=R
34,매니토바 대학 경험보고서,경제학과,학부,2012,/partner/expReport.asp?id=6004&page=2&bgbn=R
33,최대한 자세한 경험보고서,행정학과/경제학과,학부,2011,/partner/expReport.asp?id=5869&page=2&bgbn=R
32,마니토바 대학교 경험보고서,경영학과,학부,2012,/partner/expReport.asp?id=5661&page=2&bgbn=R
31,U Of M 경험 보고서 (2010.01-2010.12),경제학과,학부,2010-2010,/partner/expReport.asp?id=4843&page=2&bgbn=R
30,UoM 경험보고서.,경영학과,학부,2008,/partner/expReport.asp?id=3423&page=2&bgbn=R
29,U of M에서의 한 학기,경영학과,학부,2007,/partner/expReport.asp?id=2965&page=2&bgbn=R
28,내 생애 가장 아름다운 한학기,건축공학과,학부,2007,/partner/expReport.asp?id=2807&page=2&bgbn=R
27,"위니펙, 매니토바대학.",경영학과,학부,2006 Fall,/partner/expReport.asp?id=2439&page=2&bgbn=R
26,교환학생 경험보고서,경영학과,학부,2006,/partner/expReport.asp?id=2198&page=3&bgbn=R
25,U OF M 교환학생 경험보고서,경영학과,학부,2005-2006,/partner/expReport.asp?id=2069&page=3&bgbn=R
24,깨고 싶지 않은 꿈. 2005년도 가을 그리고 겨울.,경영학과,학부,2005,/partner/expReport.asp?id=1900&page=3&bgbn=R
23,U of Manitoba,경영학과,학부,2004,/partner/expReport.asp?id=1546&page=3&bgbn=R
22,U of Manitoba 경험보고서,상경계열,학부,2004-2005,/partner/expReport.asp?id=1541&page=3&bgbn=R
21,U of M에서의 경험보고서,문헌정보학전공,학부,2003,/partner/expReport.asp?id=1303&page=3&bgbn=R
20,U of M 경험 보고서,경영학전공,학부,2003,/partner/expReport.asp?id=1301&page=3&bgbn=R
19,경험보고서,상경계열,학부,2003-2004,/partner/expReport.asp?id=1300&page=3&bgbn=R
18,2003년 가을학기 교환학생 경험보고,경영학전공,학부,2003,/partner/expReport.asp?id=1218&page=3&bgbn=R
17,경험보고서,상경대학,학부,2002-2003,/partner/expReport.asp?id=996&page=3&bgbn=R
16,University of Manitoba - 장은혜,경영학전공,학부,20002-2003,/partner/expReport.asp?id=953&page=4&bgbn=R
15,U of M 교환보고서,상경계열,학부,2002-2003,/partner/expReport.asp?id=935&page=4&bgbn=R
14,University of Manitoba 경험 보고서,경영학전공,학부,2003,/partner/expReport.asp?id=922&page=4&bgbn=R
13,교환 학기를 마치고서...,경영학전공,학부,2003,/partner/expReport.asp?id=900&page=4&bgbn=R
12,U of Manitoba - 이정아,경영학전공,학부,2002-2003,/partner/expReport.asp?id=867&page=4&bgbn=R
11,University of Manitoba,상경계열,학부,2002,/partner/expReport.asp?id=767&page=4&bgbn=R
10,Univ of Manitoba 2002년 가을 학기 교환학생 경험,경영학전공,학부,2002,/partner/expReport.asp?id=763&page=4&bgbn=R
9,U of Manitoba - 강인실,경영학전공,학부,1999,/partner/expReport.asp?id=693&page=4&bgbn=R
8,U of Manitoba - 성민수,상경계열,학부,2002,/partner/expReport.asp?id=638&page=4&bgbn=R
7,U of Manitoba - 지태원,상경계열,학부,2002,/partner/expReport.asp?id=598&page=4&bgbn=R
6,U of Manitoba - 김민정,상경계열,학부,2000-2001,/partner/expReport.asp?id=353&page=5&bgbn=R
5,U of Manitoba-이종수,경영학전공,학부,2000,/partner/expReport.asp?id=240&page=5&bgbn=R
4,U of Manitoba-오재현,경영학전공,학부,2000,/partner/expReport.asp?id=194&page=5&bgbn=R
3,U of Manitoba-이후경,경영학전공,학부,1999-2000,/partner/expReport.asp?id=166&page=5&bgbn=R
2,U of Manitoba-김종우,경영학전공,학부,2000,/partner/expReport.asp?id=164&page=5&bgbn=R
1,U of Manitoba - 최현경,상경계열,학부,1998-1999,/partner/expReport.asp?id=48&page=5&bgbn=R
