No,제목,학과,과정,년도,href
53,조금 더운 홍콩 poly u summer school,경영학과,학부,2019,/partner/expReport.asp?id=16050&page=1&bgbn=R
52,여름계절학기교환,언더우드학부 국제학과,학부,2019 Summ,/partner/expReport.asp?id=16003&page=1&bgbn=R
51,Hong Kong PolyU International Summer School,계량위험관리,학부,2019,/partner/expReport.asp?id=15989&page=1&bgbn=R
50,홍콩 폴리유에서의 생활,사회학과,학부,2019,/partner/expReport.asp?id=15902&page=1&bgbn=R
49,홍콩 폴리텍 대학에서의 여름,영어영문학과,학부,2018,/partner/expReport.asp?id=15260&page=1&bgbn=R
48,홍콩 폴리유에서 보낸 가을학기,응용통계학과,학부,2018,/partner/expReport.asp?id=15219&page=1&bgbn=R
47,폴리텍에서의 한학기,응용통계학과,학부,2018,/partner/expReport.asp?id=15204&page=1&bgbn=R
46,홍콩에서 즐거웠던 한달,문헌정보학과,학부,2018,/partner/expReport.asp?id=15118&page=1&bgbn=R
45,홍콩 폴리텍에서의 한 달,정치외교학과,학부,2018,/partner/expReport.asp?id=15108&page=1&bgbn=R
44,홍콩 폴리텍에서의 여름학기,EIC,학부,2018,/partner/expReport.asp?id=15106&page=1&bgbn=R
43,즐거웠던 폴리유,전기전자공학부,학부,2018,/partner/expReport.asp?id=15048&page=2&bgbn=R
42,홍콩 폴리유에서의 여름,UIC ECON,학부,2018,/partner/expReport.asp?id=14998&page=2&bgbn=R
41,폴리텍 생활기,응용통계학과,학부,2018,/partner/expReport.asp?id=14987&page=2&bgbn=R
40,홍콩폴리텍에서의 한학기,생활디자인학과,학부,2017,/partner/expReport.asp?id=14032&page=2&bgbn=R
39,홍콩 PolyU에서 보낸 한 학기,응용통계학과,학부,2017,/partner/expReport.asp?id=13972&page=2&bgbn=R
38,홍콩에서 한학기,영어영문학과,학부,2016,/partner/expReport.asp?id=13690&page=2&bgbn=R
37,홍콩 폴리텍에서의 즐거운 한학기,경영학과,학부,2015,/partner/expReport.asp?id=12469&page=2&bgbn=R
36,홍콩에서의 한학기,신소재공학과,학부,2015,/partner/expReport.asp?id=12458&page=2&bgbn=R
35,홍콩의 랜드마크 폴리유,응용통계학과,학부,2015,/partner/expReport.asp?id=12444&page=2&bgbn=R
34,한 학기 더 있고싶은 그곳 폴리유,응용통계학과,학부,2014,/partner/expReport.asp?id=11848&page=2&bgbn=R
33,폴리유에서 보낸 소중한 한 학기!,응용통계학과,학부,2014,/partner/expReport.asp?id=8581&page=3&bgbn=R
32,홍콩에 중심지에서 학교생활을 하고싶다면 주저없이 polyU를 선택하세요.,정보산업공학과,학부,2014,/partner/expReport.asp?id=8579&page=3&bgbn=R
31,PolyU에서의 한 학기,전기전자공학과,학부,2012,/partner/expReport.asp?id=6473&page=3&bgbn=R
30,"최고의 선택, 홍콩 폴리유",교육학과,학부,2013,/partner/expReport.asp?id=6412&page=3&bgbn=R
29,나의 인생에 Turning Point가 된 홍콩에서의 한학기...,정보산업공학과,학부,2012,/partner/expReport.asp?id=5602&page=3&bgbn=R
28,잊지 못할 홍콩에서의 추억.,경영학과,학부,2011,/partner/expReport.asp?id=5040&page=3&bgbn=R
27,홍콩에서의 한 학기,경제학과,학부,2011,/partner/expReport.asp?id=5019&page=3&bgbn=R
26,"홍콩, 그리고 poly U에서의 8개월",행정학과,학부,2010,/partner/expReport.asp?id=4449&page=3&bgbn=R
25,홍콩 폴리유,의류환경학과,학부,2009,/partner/expReport.asp?id=4156&page=3&bgbn=R
24,I ♥ HK,경영학과,학부,2009,/partner/expReport.asp?id=4112&page=3&bgbn=R
23,홍콩 폴리유,생활디자인과,학부,2008,/partner/expReport.asp?id=3446&page=4&bgbn=R
22,polyU에서의 한학기,화학공학과,학부,2008,/partner/expReport.asp?id=3355&page=4&bgbn=R
21,PolyU,중어중문,학부,2007-2008,/partner/expReport.asp?id=3227&page=4&bgbn=R
20,홍콩에서의 1년,전기전자공학과,학부,2007-2008,/partner/expReport.asp?id=3180&page=4&bgbn=R
19,"아시아의 보석, 홍콩에서의 1학기",경영학과,학부,2008,/partner/expReport.asp?id=3156&page=4&bgbn=R
18,정이 든 우리 학교 폴리유,도시공학과,학부,2007,/partner/expReport.asp?id=2997&page=4&bgbn=R
17,리공따셰,생명공학과,학부,2007-2008,/partner/expReport.asp?id=2918&page=4&bgbn=R
16,"교환학생을 간다면, 홍콩으로 !!!",건축공학과,학부,2007,/partner/expReport.asp?id=2681&page=4&bgbn=R
15,잊을 수 없는 홍콩생활,생명공학과,학부,2007,/partner/expReport.asp?id=2658&page=4&bgbn=R
14,홍콩 폴리유,전기전자과,학부,2007,/partner/expReport.asp?id=2548&page=4&bgbn=R
13,Poly U 에서의 한 학기,정치외교학과,학부,2006,/partner/expReport.asp?id=2502&page=5&bgbn=R
12,"HK, PolyU 에서 한학기",생명공학과,학부,2006,/partner/expReport.asp?id=2314&page=5&bgbn=R
11,HK PolyU!,경영학과,학부,2006,/partner/expReport.asp?id=2136&page=5&bgbn=R
10,HK polyU에서 보낸 한학기,생화학과,학부,2006 1,/partner/expReport.asp?id=2120&page=5&bgbn=R
9,About the HKPolyU,기계공학과,학부,2006,/partner/expReport.asp?id=2003&page=5&bgbn=R
8,Hong Kong Poly U 경험보고서,생활디자인과,학부,2005,/partner/expReport.asp?id=1847&page=5&bgbn=R
7,홍콩이공대학교,토목환경전공,학부,2005-2,/partner/expReport.asp?id=1843&page=5&bgbn=R
6,"in Poly Univ., Hong Kong",문헌정보학과,학부,2005,/partner/expReport.asp?id=1839&page=5&bgbn=R
5,색다른 경험을 원한다면...HONG KONG & POLYU,컴퓨터·산업공학부,학부,2005,/partner/expReport.asp?id=1648&page=5&bgbn=R
4,HK polyU 경험보고서,화학전공,학부,2005,/partner/expReport.asp?id=1585&page=5&bgbn=R
3,"동서양이 만나는곳, 그곳에 서다.",경영학전공,학부,2004,/partner/expReport.asp?id=1429&page=6&bgbn=R
2,그리운 Poly U와 홍콩,도시공학전공,학부,2004,/partner/expReport.asp?id=1419&page=6&bgbn=R
1,다채로운 경험의 장소 HK Poly U,컴퓨터·산업공학부,학부,2004,/partner/expReport.asp?id=1406&page=6&bgbn=R
