No,제목,학과,과정,년도,href
19,아헨공대 교환학생경험보고서,토목환경공학과,학부,2019-2020,/partner/expReport.asp?id=16531&page=1&bgbn=R
18,아헨공대 1년 경험 보고서,의공학과,학부,2018-2019,/partner/expReport.asp?id=15942&page=1&bgbn=R
17,잊을 수 없는 아헨 생활,정보산업공학과,학부,2019,/partner/expReport.asp?id=15929&page=1&bgbn=R
16,아헨에서의 한학기,신소재공학과,학부,2018-2019,/partner/expReport.asp?id=15438&page=1&bgbn=R
15,나의 제 2의 고향이 된 아헨,기계공학과 (의류환경학과),학부,2017/2018,/partner/expReport.asp?id=14937&page=1&bgbn=R
14,아헨공과대학교 교환 보고서,경영학과,학부,2017,/partner/expReport.asp?id=14712&page=1&bgbn=R
13,아헨공대 교환학생 경험보고서,기계공학과,대학원,2016-2017,/partner/expReport.asp?id=14053&page=1&bgbn=R
12,아헨공대 파견보고서,기계공학과,학부,2016-2017,/partner/expReport.asp?id=13945&page=1&bgbn=R
11,"6개월, 세상을 보는 시야를 넓혀준 소중한 경험들의 연속",행정학과,학부,2016-2017,/partner/expReport.asp?id=13795&page=1&bgbn=R
10,소중한 경험이 됐던 아헨공대에서의 한 학기,독어독문학과,학부,2016,/partner/expReport.asp?id=13411&page=1&bgbn=R
9,아헨공대 한학기 교환학생 경험보고서,토목환경공학과,학부,2016,/partner/expReport.asp?id=13387&page=2&bgbn=R
8,아헨에서의 교환학생,문화인류학과,학부,2015,/partner/expReport.asp?id=13158&page=2&bgbn=R
7,RWTH Aachen에서의 한 학기,독어독문학과,학부,2015-2016,/partner/expReport.asp?id=12838&page=2&bgbn=R
6,소중했던 Aachen RWTH에서의 추억,독어독문학과,학부,2014/2015,/partner/expReport.asp?id=12241&page=2&bgbn=R
5,Rwth Aachen 파견보고서,건축공학과 건축학(5년제),학부,2014,/partner/expReport.asp?id=12109&page=2&bgbn=R
4,RWTH Aachen University에서의 1년,경영학과,학부,2013-2014,/partner/expReport.asp?id=10737&page=2&bgbn=R
3,RWTH Aachen University (아헨공대)에서의 한학기,신소재공학과,학부,2013,/partner/expReport.asp?id=6698&page=2&bgbn=R
2,국경 근처 도시 아헨의 유명 공과대학,아동가족학과,학부,2012,/partner/expReport.asp?id=6189&page=2&bgbn=R
1,RWTH Aachen University(아헨공과중심대학) 파견보고서,교육학과,학부,2012,/partner/expReport.asp?id=5920&page=2&bgbn=R
