No,제목,학과,과정,년도,href
30,인생에서 가장 가치 있었던 한 학기의 교환생활,계량위험관리(QRM),학부,2019,/partner/expReport.asp?id=16410&page=1&bgbn=R
29,UPNA에서의 한학기,PSIR,학부,2019,/partner/expReport.asp?id=16254&page=1&bgbn=R
28,팜플로나에서 1년 보내기,정치외교학과,학부,2018-2019,/partner/expReport.asp?id=15931&page=1&bgbn=R
27,팜플로나에서의 1년,의공학부,학부,2018-2019,/partner/expReport.asp?id=15614&page=1&bgbn=R
26,팜플로나에서 보낸 한 학기,식품영양학과,학부,2018,/partner/expReport.asp?id=15428&page=1&bgbn=R
25,팜플로나에서의 한 학기,경제학과,학부,2018,/partner/expReport.asp?id=15392&page=1&bgbn=R
24,UPNA에서의 한 학기,체육교육학과,학부,2017,/partner/expReport.asp?id=15103&page=1&bgbn=R
23,팜플로나에서의 교환생활,문헌정보학과,학부,2017,/partner/expReport.asp?id=14610&page=1&bgbn=R
22,팜플로나,나노과학공학,학부,2016,/partner/expReport.asp?id=13170&page=1&bgbn=R
21,한적하고 아름다운 팜플로나,영어영문학과,학부,2016,/partner/expReport.asp?id=13039&page=1&bgbn=R
20,짧았던 한 학기,정치외교학과,학부,2015,/partner/expReport.asp?id=12735&page=2&bgbn=R
19,Exchange Semester in UPNA,Underwood International College - Economics,학부,2015,/partner/expReport.asp?id=12727&page=2&bgbn=R
18,잊지 못할 빰쁠로나,경영학과,학부,2013,/partner/expReport.asp?id=12366&page=2&bgbn=R
17,팜플로나에서의 대학생활,경영학과,학부,2014,/partner/expReport.asp?id=12268&page=2&bgbn=R
16,UPNA를 다녀와서,영어영문학과,학부,2015,/partner/expReport.asp?id=12155&page=2&bgbn=R
15,팜플로나 후기,국제학부,학부,2015,/partner/expReport.asp?id=12098&page=2&bgbn=R
14,upna,사회학과,학부,2014,/partner/expReport.asp?id=7484&page=2&bgbn=R
13,팜플로나를 다녀와서,실내건축학과,학부,2013,/partner/expReport.asp?id=6994&page=2&bgbn=R
12,여유로움이 가득한 팜플로나,경제학부,학부,2013,/partner/expReport.asp?id=6992&page=2&bgbn=R
11,즐거운 팜플로나,행정학과,학부,2013,/partner/expReport.asp?id=6662&page=2&bgbn=R
10,Pamplona에서 보낸 6개월,신문방송학과,학부,2013,/partner/expReport.asp?id=6637&page=3&bgbn=R
9,UPNA,경제학과,학부,2013,/partner/expReport.asp?id=6626&page=3&bgbn=R
8,Pamplona에서의 일년,문화인류학과,학부,2010-2011,/partner/expReport.asp?id=5095&page=3&bgbn=R
7,UPNA를 다녀와서..,사회학과,학부,2010,/partner/expReport.asp?id=4415&page=3&bgbn=R
6,UPNA에서의 10개월,정치외교,학부,09-10,/partner/expReport.asp?id=4291&page=3&bgbn=R
5,웁나에 대하여,영어영문학,학부,2008-2009,/partner/expReport.asp?id=3516&page=3&bgbn=R
4,UPNA 경험보고서,정치외교학과,학부,2008-2009,/partner/expReport.asp?id=3470&page=3&bgbn=R
3,먼저,경영학과,학부,2008,/partner/expReport.asp?id=3460&page=3&bgbn=R
2,"자연이 아름다운, 작고 현대적인 도시, Pmplona.",심리학과,학부,2007,/partner/expReport.asp?id=2973&page=3&bgbn=R
1,스페인의 no.1축제 San Fermin의 도시. Pamplona!,영어영문학과,학부,2006-2007,/partner/expReport.asp?id=2781&page=3&bgbn=R
