No,제목,학과,과정,년도,href
73,알토대학교에서의 한학기,UIC 창의기술경영,학부,2019,/partner/expReport.asp?id=15689&page=1&bgbn=R
72,"Aalto, Mikkeli: 우주의 밤바닥에서",경영학과,학부,2015,/partner/expReport.asp?id=12618&page=1&bgbn=R
71,꿈같았던 Mikkeli에서의 한 학기 :),교육학과,학부,2015,/partner/expReport.asp?id=12507&page=1&bgbn=R
70,"마음의 고향, 핀란드",철학,학부,2015,/partner/expReport.asp?id=12303&page=1&bgbn=R
69,"가장 낯설었던 나라에서 보낸, 잊을 수 없는 1년",사회학과,학부,2012,/partner/expReport.asp?id=11827&page=1&bgbn=R
68,생각의 폭을 넓혀준 교환학생의 1년!,경영학과,학부,2014,/partner/expReport.asp?id=10750&page=1&bgbn=R
67,미켈리에서의 한 학기,정치외교학과,학부,2014,/partner/expReport.asp?id=10664&page=1&bgbn=R
66,Mikkeli Spirit,경영학과,학부,2014,/partner/expReport.asp?id=8608&page=1&bgbn=R
65,미켈리에서의 한 학기(※경영대학입니다 경제대학 아닙니다),응용통계학과,학부,2013,/partner/expReport.asp?id=7482&page=1&bgbn=R
64,미켈리에서의 1년,경제학과,학부,2012-2013,/partner/expReport.asp?id=6664&page=1&bgbn=R
63,"숲과 호수의 나라 핀란드, 작은 마을 미켈리에서의 1년..",경제학과,학부,2012-2013,/partner/expReport.asp?id=6493&page=2&bgbn=R
62,어둡고 추운 곳에서의 잊지 못할 기억,경영학과,학부,2012,/partner/expReport.asp?id=6324&page=2&bgbn=R
61,"찬란했던 2012, 헬싱키에서",경영학과,학부,2012,/partner/expReport.asp?id=6247&page=2&bgbn=R
60,미켈리에서 값진 추억을 만든 한 학기,경제학과,학부,2012,/partner/expReport.asp?id=6066&page=2&bgbn=R
59,Tervetuola! Welcome to Helsinki!,사회학과,학부,2011-2012,/partner/expReport.asp?id=5799&page=2&bgbn=R
58,미켈리에서의 석 달,국어국문학과,학부,2011,/partner/expReport.asp?id=5568&page=2&bgbn=R
57,"호수와 숲의 나라 핀란드, 헬싱키에서의 한 학기.",경영학과,학부,2011,/partner/expReport.asp?id=5392&page=2&bgbn=R
56,그리운 핀란드에서의 한학기.,경영학과,학부,2011,/partner/expReport.asp?id=5321&page=2&bgbn=R
55,헬싱키에서의 잊지못할 한학기,경영학과,학부,2011,/partner/expReport.asp?id=5315&page=2&bgbn=R
54,"자일리톨은 시작일뿐입니다, 더욱 흥미진진한 mikkeli",신문방송학과,학부,2011,/partner/expReport.asp?id=5206&page=2&bgbn=R
53,HSE - 유럽에서의 1년,경제학과,학부,2010-2011,/partner/expReport.asp?id=5143&page=3&bgbn=R
52,Aalto university : School of Economics,경제학과,학부,2011,/partner/expReport.asp?id=5131&page=3&bgbn=R
51,핀란드 미켈리에서의 1년,신문방송학과,학부,2010,/partner/expReport.asp?id=4866&page=3&bgbn=R
50,미켈리에서의 한 학기,국어국문학과,학부,2010,/partner/expReport.asp?id=4816&page=3&bgbn=R
49,미껠리에서의 한학기,응용통계학과,학부,2010,/partner/expReport.asp?id=4774&page=3&bgbn=R
48,"Mikkeli, the place of extreme",영어영문학과,학부,2010,/partner/expReport.asp?id=4745&page=3&bgbn=R
47,생각할 시간을 줬던 미켈리에서의 9개월,경영대학 경영학과,학부,2010,/partner/expReport.asp?id=4667&page=3&bgbn=R
46,aalto university mikkeli campus,경영학과,학부,2010,/partner/expReport.asp?id=4661&page=3&bgbn=R
45,HSE 교환학생 프로그램 후기,경영학과,학부,2010,/partner/expReport.asp?id=4562&page=3&bgbn=R
44,핀란드에서의 겨울과 여름,경영학과,학부,2010,/partner/expReport.asp?id=4548&page=3&bgbn=R
43,"Moika, Suomi!!",경영학과,학부,2010,/partner/expReport.asp?id=4530&page=4&bgbn=R
42,"휘바 휘바 HSE, Mikkeli",경영학과,학부,2009-2010,/partner/expReport.asp?id=4472&page=4&bgbn=R
41,"HSE,Mikkeli에서의 소중한 1년♥",경영학과,학부,2009-2010,/partner/expReport.asp?id=4300&page=4&bgbn=R
40,"Mikkeli에서의 반년, 잊을 수 없는 시간",경영학과,학부,2010,/partner/expReport.asp?id=4294&page=4&bgbn=R
39,알토대학에서의 첫번째 교환일기,철학,학부,2010,/partner/expReport.asp?id=4264&page=4&bgbn=R
38,헬싱키 경제대학에서의 1년,경영학과,학부,2009-2010,/partner/expReport.asp?id=4246&page=4&bgbn=R
37,"HSE, Mikkeli",경영학과,학부,2009,/partner/expReport.asp?id=4130&page=4&bgbn=R
36,"HSE, Mikkeli",경영학과,학부,2009,/partner/expReport.asp?id=4124&page=4&bgbn=R
35,여유롭고 평화로운 미켈리에서의 1년,문헌정보학과,학부,2009,/partner/expReport.asp?id=4116&page=4&bgbn=R
34,시리도록 아름다운 헬싱키에서의 일년,경영학과,학부,2008-2009,/partner/expReport.asp?id=3880&page=4&bgbn=R
33,HSE Mikkeli 경험보고서,경영학과,학부,2009,/partner/expReport.asp?id=3714&page=5&bgbn=R
32,아담하고 한적한 Mikkeli에서의 7개월♥,경영학과,학부,2009,/partner/expReport.asp?id=3711&page=5&bgbn=R
31,핀란드 HSE 경험 보고서,경영학과,학부,2008,/partner/expReport.asp?id=3532&page=5&bgbn=R
30,HSE 경험보고서,경제학부,학부,2008,/partner/expReport.asp?id=3469&page=5&bgbn=R
29,HSE에서의 한학기,경영학과,학부,2008,/partner/expReport.asp?id=3457&page=5&bgbn=R
28,"HSE, Mikkeli",경영학과,학부,2008,/partner/expReport.asp?id=3120&page=5&bgbn=R
27,"HSE, Mikkeli에서의 한 학기",경제학과,학부,2008,/partner/expReport.asp?id=3111&page=5&bgbn=R
26,HSE에서의 1년,경영학과,학부,2007,/partner/expReport.asp?id=2919&page=5&bgbn=R
25,HSE 경험보고서,경제학과,학부,2007,/partner/expReport.asp?id=2917&page=5&bgbn=R
24,HSE 경험보고서,경영학과,학부,2006-2007,/partner/expReport.asp?id=2794&page=5&bgbn=R
23,천국보다 아름다운 그 곳 - 핀란드에서의 한학기,정치외교학과,학부,2006,/partner/expReport.asp?id=2265&page=6&bgbn=R
22,MoiMoi Finland :),경영학과,학부,2005,/partner/expReport.asp?id=2251&page=6&bgbn=R
21,HSE 경험보고서,응용통계학과,학부,2006,/partner/expReport.asp?id=2116&page=6&bgbn=R
20,경험보고서,도시공학과,학부,2005,/partner/expReport.asp?id=1747&page=6&bgbn=R
19,"'자아의 신화'를 이루기 위한 첫 여정, HSE",경영학과,학부,2005,/partner/expReport.asp?id=1558&page=6&bgbn=R
18,"인생의 가장 빛나는 기억! Moi, Finland!",경영학전공,학부,2004,/partner/expReport.asp?id=1319&page=6&bgbn=R
17,The perfect memories in Finland,경영학전공,학부,2004,/partner/expReport.asp?id=1311&page=6&bgbn=R
16,경험보고서,경영학전공,학부,2004,/partner/expReport.asp?id=1275&page=6&bgbn=R
15,헬싱키경제경영대학 경험보고서,경영학전공,학부,2004,/partner/expReport.asp?id=1181&page=6&bgbn=R
14,I miss Helsinki ^^,경영학전공,학부,2003,/partner/expReport.asp?id=1063&page=6&bgbn=R
13,경험보고서,경영학전공,학부,2003,/partner/expReport.asp?id=1007&page=7&bgbn=R
12,경험보고서,경영학전공,학부,2003,/partner/expReport.asp?id=920&page=7&bgbn=R
11,I was in Helsinki,경영학전공,학부,2003,/partner/expReport.asp?id=904&page=7&bgbn=R
10,눈의 나라 핀란드,상경계열,학부,2003,/partner/expReport.asp?id=893&page=7&bgbn=R
9,경험보고서,컴퓨터·산업공학전공,학부,2003,/partner/expReport.asp?id=886&page=7&bgbn=R
8,Helsinki School of Economics - 신수진,경제학전공,학부,2001-2002,/partner/expReport.asp?id=676&page=7&bgbn=R
7,Helsinki School of Economics - 신수진,경제학전공,학부,2002,/partner/expReport.asp?id=609&page=7&bgbn=R
6,Helsinki School of Economics - 김슬기,영어영문학전공,학부,2002,/partner/expReport.asp?id=604&page=7&bgbn=R
5,Helsinki School of Economics and Business - 정석준,경영학전공,대학원,2001,/partner/expReport.asp?id=438&page=7&bgbn=R
4,Helsinki School of Economics-강기진,상경계열,학부,2000,/partner/expReport.asp?id=230&page=7&bgbn=R
