No,제목,학과,과정,년도,href
25,영국의 한가로움을 담뿍 담음 UH,사회과학대학 언론홍보영상학부,학부,2019,/partner/expReport.asp?id=16528&page=1&bgbn=R
24,허트포드셔와 런던에서의 1년,사회과학대학 언론홍보영상학부,학부,2019,/partner/expReport.asp?id=16367&page=1&bgbn=R
23,나를 돌아보는 시간,경영,학부,2019-2,/partner/expReport.asp?id=16311&page=1&bgbn=R
22,하트포트셔 교환학기 파견경험보고서,언더우드국제대학 계량위험관리학,학부,2019,/partner/expReport.asp?id=15868&page=1&bgbn=R
21,요양과 여행과 공부하기 좋은 곳 허트포드셔,정치외교학과,학부,2019,/partner/expReport.asp?id=15642&page=1&bgbn=R
20,런던 근교 도시에서의 가을,사학과,학부,2018-2,/partner/expReport.asp?id=15476&page=1&bgbn=R
19,런던외곽에서의 평화로운 교환생활,언론홍보영상학부,학부,2018-2,/partner/expReport.asp?id=15363&page=1&bgbn=R
18,University of Hertfordshire 에서의 사계절,UIC HASS CDM,학부,2018,/partner/expReport.asp?id=15272&page=1&bgbn=R
17,"넘치는 여유와 행복 , 햇필드",언더우드학부 경제학과,학부,2018,/partner/expReport.asp?id=15221&page=1&bgbn=R
16,꿈과 같은 영국에서의 한 학기,아동가족학과,학부,2017-2,/partner/expReport.asp?id=14662&page=1&bgbn=R
15,UH에서의 한 학기,언론홍보영상학부,학부,2017,/partner/expReport.asp?id=14652&page=2&bgbn=R
14,너무 좋았던 UH에서의 한학기,기계공학과,학부,2017-2,/partner/expReport.asp?id=14567&page=2&bgbn=R
13,허트포드셔에서의 충분했던 한 학기,영어영문학과,학부,2017-1,/partner/expReport.asp?id=14052&page=2&bgbn=R
12,uh에서의 한 학기,실내건축학과,학부,2016,/partner/expReport.asp?id=13762&page=2&bgbn=R
11,Hatfield에서 보낸 한 학기,사학과,학부,2016,/partner/expReport.asp?id=13652&page=2&bgbn=R
10,University of Hertfordshire에서의 한 학기,언론홍보영상학부,대학원,2016,/partner/expReport.asp?id=13079&page=2&bgbn=R
9,Hertfordshire에서 보낸 한 학기,영어영문학과,학부,2016,/partner/expReport.asp?id=12942&page=2&bgbn=R
8,UH에서의 한 학기,영어영문학과,학부,2015,/partner/expReport.asp?id=12239&page=2&bgbn=R
7,University of Hertfordshire에서의 교환학생,신문방송학과,학부,2015,/partner/expReport.asp?id=12000&page=2&bgbn=R
6,Hatfield에서 한 학기 보내기,신학과,학부,2013,/partner/expReport.asp?id=7363&page=2&bgbn=R
5,영국에서의 1년,경영학과,학부,2013,/partner/expReport.asp?id=7362&page=3&bgbn=R
4,UH 파견 경험보고서,영어영문학과,학부,2014,/partner/expReport.asp?id=7356&page=3&bgbn=R
3,University of Hertfordshire에서의 6개월을 보낸 학생으로부터의 팁,언더우드 국제대학 경제학과,학부,2014,/partner/expReport.asp?id=7277&page=3&bgbn=R
2,hertfordshire에서의 한학기,신문방송학과,학부,2013-2014,/partner/expReport.asp?id=7022&page=3&bgbn=R
1,영국에서의 일 년,국어국문학과,학부,2013,/partner/expReport.asp?id=7018&page=3&bgbn=R
