No,제목,학과,과정,년도,href
70,암스테르담 교환 생활,비교문학과문화,학부,2019,/partner/expReport.asp?id=16411&page=1&bgbn=R
69,암스테르담에서 한학기 살기,영어영문학과,학부,2019,/partner/expReport.asp?id=16405&page=1&bgbn=R
68,우바(UvA)에서의 한학기,심리학과,학부,2019,/partner/expReport.asp?id=16371&page=1&bgbn=R
67,잊지 못할 암스테르담의 가을학기,언론홍보영상학부/경영학과,학부,2019,/partner/expReport.asp?id=16262&page=1&bgbn=R
66,UvA 교환학생 후기!,UIC PSIR,학부,2019,/partner/expReport.asp?id=15896&page=1&bgbn=R
65,"UvA, 암스테르담 교환후기","HASS, UIC",학부,2019-1,/partner/expReport.asp?id=15848&page=1&bgbn=R
64,다시 돌아가고 싶은 UVA,국제통상학과/정치외교학과,학부,2018-2,/partner/expReport.asp?id=15474&page=1&bgbn=R
63,행복했던 UVA에서의 한 학기,문화인류학과/경영학과,학부,2018,/partner/expReport.asp?id=15434&page=1&bgbn=R
62,진심담아 추천하는 UvA 교환!,아시아학,학부,2018,/partner/expReport.asp?id=15382&page=1&bgbn=R
61,UvA와 함께한 암스테르담 생활,경영학과,학부,2018,/partner/expReport.asp?id=15323&page=1&bgbn=R
60,수준 높은 대학생활을 즐기고 싶다면 UvA로 오세요,언론홍보영상학부/경영학과,학부,2018,/partner/expReport.asp?id=15088&page=2&bgbn=R
59,University of Amsterdam (UvA)에서 한 학기를 보낸 교환학생 후기,심리학과,학부,2017,/partner/expReport.asp?id=14630&page=2&bgbn=R
58,행복했던 암스테르담 교환,심리학과,학부,2017,/partner/expReport.asp?id=14629&page=2&bgbn=R
57,암스테르담 교환 후기,경제학과,학부,2017,/partner/expReport.asp?id=14604&page=2&bgbn=R
56,너무 행복했던 암스테르담에서의 한 학기,영어영문학과,학부,2016,/partner/expReport.asp?id=13816&page=2&bgbn=R
55,잊을 수 없는 암스테르담 생활,경영학과,학부,2016,/partner/expReport.asp?id=13713&page=2&bgbn=R
54,누구에게나 추천해주고 싶은 UVA,언론홍보영상학부 / 경영학과,학부,2015,/partner/expReport.asp?id=13431&page=2&bgbn=R
53,"살기 좋았던 도시, Amsterdam에서",언론홍보영상학부/철학과,학부,2016-2016,/partner/expReport.asp?id=13169&page=2&bgbn=R
52,암스테르담에서의 6개월,경영/경제,학부,2015,/partner/expReport.asp?id=12228&page=2&bgbn=R
51,교환학생을 생각하신다면 암스테르담으로!,경영학과,학부,2015,/partner/expReport.asp?id=12217&page=2&bgbn=R
50,University of Amsterdam 파견보고서,언더우드학부 정치외교학과,학부,2014,/partner/expReport.asp?id=11839&page=3&bgbn=R
49,아름다운 도시 암스테르담,경영학과,학부,2014,/partner/expReport.asp?id=11817&page=3&bgbn=R
