No,제목,학과,과정,년도,href
49,여유를 아는 도시 Kristianstad,문화인류학과,학부,2017,/partner/expReport.asp?id=14489&page=1&bgbn=R
48,교환학생가기 좋은 나라 스웨덴,철학,학부,2016,/partner/expReport.asp?id=13127&page=1&bgbn=R
47,잊지 못 할 5개월,사회학과,학부,2015,/partner/expReport.asp?id=12696&page=1&bgbn=R
46,여유를 즐길 수 있었던 한 학기,영어영문,학부,2015,/partner/expReport.asp?id=12657&page=1&bgbn=R
45,한적하고 평화로운 kristianstad에서의 생활,심리학과,학부,2015,/partner/expReport.asp?id=12035&page=1&bgbn=R
44,자유로웠던 한학기,문헌정보학,학부,2014,/partner/expReport.asp?id=11977&page=1&bgbn=R
43,크리콴스타에서의 여유로웠던 한학기!,경제학과,학부,2014,/partner/expReport.asp?id=10748&page=1&bgbn=R
42,행복했던 지난 봄학기,토목환경공학과,학부,2014,/partner/expReport.asp?id=7422&page=1&bgbn=R
41,아름다웠던 Kristianstad에서의 한 학기,행정학과,학부,2014,/partner/expReport.asp?id=7317&page=1&bgbn=R
40,행복을 찾는 법을 알게 해준 Kristianstad에서의 한 학기,정치외교학과,학부,2014,/partner/expReport.asp?id=7266&page=1&bgbn=R
39,아름다운 자연을 가진 스웨덴,천문우주학과,학부,2013,/partner/expReport.asp?id=6863&page=2&bgbn=R
38,삶의 이상향을 제시해 준 6개월의 교환학기,문헌정보학과,학부,2013,/partner/expReport.asp?id=6585&page=2&bgbn=R
37,말할 수 없이 평온했던 시간,경영학과,학부,2011,/partner/expReport.asp?id=6521&page=2&bgbn=R
36,누구보다 여유로웠던 스웨덴에서의1년,경제학과,학부,2012-2013,/partner/expReport.asp?id=6448&page=2&bgbn=R
35,새로운 곳에서의 새로운 경험,정치외교학과,학부,2012,/partner/expReport.asp?id=6184&page=2&bgbn=R
34,"행복했던 그 곳, Kristianstad",국어국문학과,학부,2012,/partner/expReport.asp?id=6085&page=2&bgbn=R
33,북유럽이 가져다준 변화,영어영문학과,학부,2012,/partner/expReport.asp?id=5748&page=2&bgbn=R
32,여유로움을 배울 수 있는 그곳,영어영문학과,학부,2009,/partner/expReport.asp?id=5539&page=2&bgbn=R
31,삶을 되돌아 볼 수 있는 곳,경영학과,학부,2011,/partner/expReport.asp?id=5538&page=2&bgbn=R
30,"hej hej, 북유럽의 아름다운 나라 Sweden!",정치외교학과,학부,2010,/partner/expReport.asp?id=5485&page=2&bgbn=R
29,20대에 발견한 진정한 휴식처,의류환경학과,학부,2010-2011,/partner/expReport.asp?id=5470&page=3&bgbn=R
28,북유럽에서만 꿈 꿀 수 있는..,신문방송학과,학부,2011,/partner/expReport.asp?id=5159&page=3&bgbn=R
27,춥지만 따뜻했던 한 학기,생활과학대학 주거환경학과,학부,2010,/partner/expReport.asp?id=5150&page=3&bgbn=R
26,아름다운 북구의 땅에서 발견하는 새로운 나의 모습,건축학과,학부,2009,/partner/expReport.asp?id=5068&page=3&bgbn=R
25,여유와 한가로움을 느껴보고 싶다면....,생활과학대학 식품영양학과,학부,2010,/partner/expReport.asp?id=5004&page=3&bgbn=R
24,평화로운 스웨덴에서의 나날,영어영문학과,학부,2011,/partner/expReport.asp?id=4988&page=3&bgbn=R
23,다시 기회가 와도 스웨덴으로 가고 싶어요,금속시스템공학과,학부,2010,/partner/expReport.asp?id=4826&page=3&bgbn=R
22,진정한 여유로움을 맛볼 수 있는 그 곳. Kristianstad,교육학과,학부,2010,/partner/expReport.asp?id=4663&page=3&bgbn=R
21,스웨덴에서의,영어영문학과,학부,2009,/partner/expReport.asp?id=4583&page=3&bgbn=R
20,스웨덴의 밤은 당신의 밤보다 길다,정치외교학,학부,2010,/partner/expReport.asp?id=4358&page=3&bgbn=R
19,아름다운 kristianstad에서의 1년,국제관계학,학부,2008,/partner/expReport.asp?id=4194&page=4&bgbn=R
18,"소박했던, 행복했던 꿈만 같은 스웨덴에서의 나날들",사회복지학과,학부,2009,/partner/expReport.asp?id=4114&page=4&bgbn=R
17,Kristianstad,응용통계학,학부,2008,/partner/expReport.asp?id=3822&page=4&bgbn=R
16,스웨덴과의 특별한 인연,화학공학과,학부,2009,/partner/expReport.asp?id=3753&page=4&bgbn=R
15,너무 값지고 예쁜 추억의 1년,의류환경,학부,2008-2009,/partner/expReport.asp?id=3730&page=4&bgbn=R
14,내게 깊은 인상을 남겨주었던 소중한 1년,전기전자 공학부,학부,2008,/partner/expReport.asp?id=3511&page=4&bgbn=R
13,"살기좋은 북유럽의 핵심, 스웨덴",심리학과,학부,2008,/partner/expReport.asp?id=3429&page=4&bgbn=R
12,많은 것을 배울 수 있었던 시간,영어영문학과,학부,2007,/partner/expReport.asp?id=2945&page=4&bgbn=R
11,유럽에서의 행복했던 1년,생활디자인,학부,2007,/partner/expReport.asp?id=2906&page=4&bgbn=R
10,스웨덴에서의 즐거웠던 나날들,경영학과,학부,2007,/partner/expReport.asp?id=2902&page=4&bgbn=R
9,"북쪽 나라의 남쪽 끝, Kristianstad",영어영문학과,학부,2006-2007,/partner/expReport.asp?id=2648&page=5&bgbn=R
8,스웨덴에서 여유와 풍요를 얻다,영어영문학과,학부,2006-2007,/partner/expReport.asp?id=2614&page=5&bgbn=R
7,여유롭고 한가했던 스웨덴,경영학과,학부,2006,/partner/expReport.asp?id=2309&page=5&bgbn=R
6,여유를 찾게 해준 kristianstad,영어영문학과,학부,2006,/partner/expReport.asp?id=2255&page=5&bgbn=R
5,신비스럽고 낯선 북유럽 국가에서의 체험,건축공학과,학부,2005,/partner/expReport.asp?id=1951&page=5&bgbn=R
4,조용조용 느긋한 스웨덴 사람들과 함께 살기.,문과대학 국어국문학과,학부,2005,/partner/expReport.asp?id=1941&page=5&bgbn=R
3,스웨덴에서의 소중한 추억을 뒤로 하고..,주거환경학과,학부,2005,/partner/expReport.asp?id=1660&page=5&bgbn=R
2,스웨덴에서의 짧은 기억,경영정보학전공,학부,2004,/partner/expReport.asp?id=1449&page=5&bgbn=R
1,Kristianstad University,영어영문학전공,학부,2004,/partner/expReport.asp?id=1443&page=5&bgbn=R
