No,제목,학과,과정,년도,href
28,아름다운 추억이 될 예테보리,영어영문학과,학부,2019,/partner/expReport.asp?id=16566&page=1&bgbn=R
27,힐링이 하고싶다면 스웨덴으로,언론홍보영상학부,학부,2019,/partner/expReport.asp?id=16537&page=1&bgbn=R
26,"예테보리, 그리고 북유럽에서의 겨울",글로벌 엘리트,학부,2018-2019,/partner/expReport.asp?id=16438&page=1&bgbn=R
25,하루하루가 새로운 경험이었던 예테보리에서의 1년,정치외교학과,학부,2018-2019,/partner/expReport.asp?id=15674&page=1&bgbn=R
24,여유롭고 행복했던 예테보리에서의 한 학기,사학과,학부,2018,/partner/expReport.asp?id=15342&page=1&bgbn=R
23,인생에서 최고로 여유로웠던 8개월,영어영문학과,학부,2018,/partner/expReport.asp?id=15008&page=1&bgbn=R
22,여유와 행복을 준 예테보리,생명공학과,학부,2018,/partner/expReport.asp?id=14901&page=1&bgbn=R
21,예테보리 대학교 파견 보고서,경제학과,학부,2017-2018,/partner/expReport.asp?id=14872&page=1&bgbn=R
20,비슷하면서도 다른 그곳 예테보리,아동가족/경제,학부,2017,/partner/expReport.asp?id=14253&page=1&bgbn=R
19,"여유롭고 평화로운 삶, 예테보리 대학교",영어영문학과,학부,2015,/partner/expReport.asp?id=13836&page=1&bgbn=R
18,그리운 예테보리 대학교,영어영문학과,학부,2016,/partner/expReport.asp?id=13756&page=2&bgbn=R
17,여유가 넘치는 도시와 함께했던 예테보리 대학 생활,생활디자인학과,학부,2016,/partner/expReport.asp?id=13706&page=2&bgbn=R
16,A beautiful city,Underwood Division,학부,2015-2016,/partner/expReport.asp?id=13082&page=2&bgbn=R
15,예테보리 대학,사학과,학부,2015,/partner/expReport.asp?id=12684&page=2&bgbn=R
14,다시는 하지 못할 경험!,중어중문학과,학부,2015,/partner/expReport.asp?id=12284&page=2&bgbn=R
13,"언젠가 꼭 한 번 더 돌아가고 싶은 도시, 예테보리!",국어국문학과,학부,2015,/partner/expReport.asp?id=12184&page=2&bgbn=R
12,예테보리 대학,천문우주학과,학부,2014,/partner/expReport.asp?id=10697&page=2&bgbn=R
11,작지만 아름다운 예테보리,경제학과,학부,2014,/partner/expReport.asp?id=7345&page=2&bgbn=R
10,예테보리 대학교,지구시스템과학과,학부,2014,/partner/expReport.asp?id=7289&page=2&bgbn=R
9,예테보리 대학교,행정학과,학부,2013,/partner/expReport.asp?id=6847&page=2&bgbn=R
8,그리운 예테보리,노어노문학과,학부,2013,/partner/expReport.asp?id=6554&page=3&bgbn=R
7,"사랑스러운 도시, 예테보리",경영학과,학부,2012-13,/partner/expReport.asp?id=6543&page=3&bgbn=R
6,예테보리 대학교,영어영문학과,학부,2013,/partner/expReport.asp?id=6496&page=3&bgbn=R
5,예테보리 대학교,행정학과,학부,2013,/partner/expReport.asp?id=6434&page=3&bgbn=R
4,소중했던 예테보리의 시간들,영어영문학과,학부,2012-1,/partner/expReport.asp?id=5870&page=3&bgbn=R
3,북유럽의 귀염둥이 예테보리,문화인류학과,학부,2012,/partner/expReport.asp?id=5726&page=3&bgbn=R
2,University of Gothenburg,생명시스템대학 생물학,학부,2011,/partner/expReport.asp?id=5501&page=3&bgbn=R
1,예테보리 대학교,수학과,학부,2011,/partner/expReport.asp?id=5428&page=3&bgbn=R
